iter	TotalF1	MultiClass
830	0.7242499238	0.64309135
831	0.7242499238	0.6429583971
832	0.7242499238	0.6428631941
833	0.724335861	0.6427480625
834	0.724335861	0.6426589941
835	0.7238967196	0.642571091
836	0.7244178435	0.6424662082
837	0.7242022817	0.6424003973
838	0.7239866809	0.6423108526
839	0.7239866809	0.6421904626
840	0.7239866809	0.6421195918
841	0.7239866809	0.6420185891
842	0.7242022817	0.6418875783
843	0.7242022817	0.6417960324
844	0.7242022817	0.6417295356
845	0.7242022817	0.6415848378
846	0.7242022817	0.6414714876
847	0.7241163779	0.6414039075
848	0.7241163779	0.6412971521
849	0.7241163779	0.6412221143
850	0.7241163779	0.6411411899
851	0.7241163779	0.6410210629
852	0.7241163779	0.64091958
853	0.7243319307	0.6407962327
854	0.7243319307	0.6407156789
855	0.7245474447	0.6406085417
856	0.7243319307	0.6405360588
857	0.7243319307	0.6404437251
858	0.7243319307	0.640294306
859	0.7247708248	0.6401708838
860	0.7249078528	0.6400594396
861	0.7249282788	0.6399650477
862	0.7252301624	0.6398518803
863	0.7249988049	0.6397091643
864	0.7255825294	0.6396233351
865	0.7252812063	0.639510372
866	0.7252812063	0.6394144838
867	0.724846419	0.6393118475
868	0.7246188079	0.6392253482
869	0.724846419	0.6390681212
870	0.7248817562	0.6389710816
871	0.7253125127	0.6389253723
872	0.7251012611	0.6388450804
873	0.7251087898	0.6387803427
874	0.7253242319	0.63866692
875	0.7254571175	0.6385751038
876	0.7252416599	0.6384581672
877	0.7250181987	0.6383944466
878	0.7255393399	0.6383479141
879	0.7254883181	0.6382729242
880	0.7259985213	0.6381445031
